TranslatedRecipeName,ingredients_parsed
Jodhpuri Aloo Recipe,kashmiri chilli powder amchur asafoetida fennel coriander chilli flakes chillies cumin potatoes turmeric powder sesame sunflower
Vedakkai Thoran Recipe - Kerala Style Bhindi Stir Fry,coconut mustard pearl onion curry bhindi turmeric powder chillies sunflower
Gram and Potato Dry Vegetable Recipe,tomato chilli amchur ginger juliennes chilli powder ginger garlic paste kabuli chana coriander onion cumin coriander powder potato turmeric powder garam masala powder sunflower
Tomato Chicken Roast Recipe Flavoured With Kasuri Methi,ginger kashmiri chilli powder coriander cloves garlic tomato desseded onion kasuri methi chicken bless coriander powder turmeric powder chillies garam masala powder sunflower
Nellikai Oorugai / Amla Sambhario Recipe (Instant Gooseberry Piccile Recipe),mustard mustard asafoetida amla chilli powder methi
Baingan Sarson Ka Saag Recipe - Brinjal Mustard Saag Recipe,ginger brinjal cumin mustard chilli powder cloves garlic mustard onion coriander powder mango powder garam masala powder
Stuffed Arbi Paratha Recipe,cumin powder flour chilli amchur chilli powder coriander colocasia root coriander powder turmeric powder garam masala powder sunflower
Tomato Curry Leaf Chutney Recipe - Tomato Curry Leaf Chutney Recipe,tomato turmeric powder curry coriander chillies
Rajasthani Goonde Vegetable Recipe (Bird Lime Stir Fry),amchur asafoetida fennel mustard coriander chilli powder cumin methi gunde turmeric powder sunflower
Raw Jackfruit Burrito Recipe,tomato yellow bell pepper cumin powder sour paprika powder cloves garlic onion rajma pepper powder turmeric powder bell pepper jackfruit junks tomato salsa thyme cinnamon powder tortillas rice chilli powder pepper ginger bell pepper
Bengali gram dal recipe,chillies ginger mustard ghee coconut bay chillies cinnamon stick cumin cloves turmeric powder chana dal
Hyderabadi Vegetable Biryani Recipe - Hyderabadi Vegetable Biryani Recipe,turmeric powder ginger rice cinnamon chilli powder cloves garlic carrot mint curd beans onion make tomatopuree cardamom potatoes bay spoon coriander powder chillies cabbage
Chocolate Chip & Raisin Rolls Recipe,flour chocolate chips dark milk raisins yeast butter ricotta cheese cheese paneer jaggery flour orange orange butter
Baby Corn Cigar Recipe,corn flour sunflower coriander potato chilli powder olive vinegar corn pizza ginger paste bread crumbs chilli paste garlic paste
Wheat Millet Thepla Recipe - Bajra Masala Paratha,flour ginger chilli coriander pepper powder bajra flour turmeric powder sunflower
Kaju Badam Ladoo Recipe,cashew nuts badam ghee greasing cardamom powder
Spaghetti Aglio Olio With Parmesan & Greens Recipe,spaghetti pasta spinach amaranth cloves garlic olive lemon parmesan cheese
Mushroom Dumpling Recipe With Potatoes (Momos),ginger chilli potato onion mushrooms flour sunflower
Tomato Curry Leaf Chutney With No Onion No Garlic Recipe,tomato coriander curry turmeric powder chillies
Baked Oats and Whole Wheat Kachori Stuffed with Peas Recipe,flour knead chilli amchur ajwain chaat masala powder peas olive chilli powder coriander oats
Masala Carrot And Peas Sandwich Recipe,cheese bread chaat masala powder peas cloves garlic carrot pepper powder chillies
Stuffed Onion Vegetable Recipe - Bharwa Pyaz Ki Sabzi Recipe,turmeric powder ginger coriander chilli powder cloves garlic onion coriander powder mango powder
Aam Panna Pani Puri Recipe,cumin powder moong sproutsgreen moong sprouts potato chaat masala powder chilli powder mango pani puris pepper powder mint
Quinoa Vegetable Upma Recipe,tomato chillies beans del monte corn kernels mustard coriander peas olive curry carrot urad dal cumin coriander powder chana dal quinoa garam masala powder
Whole Wheat Espresso Chocolate Streusel Cake Recipe,powder flour apricots sour butter vanilla dark chocolate eggs cocoa powder pecans coffee decoction butter cinnamon powder
Basella Fritters Recipe - Malabar Spinach Fritters,basella corn flour enos fruit powder chilli powder gram flour tomato ketchup cumin chilli powder batter turmeric powder sunflower
Fig Honey & Paprika Preserve Recipe,chilli flakes figs lemon lemon
Sepu Vadi Recipe (Himachali Split Urad Dal Dumplings In Spinach Gravy),cumin powder dill asafoetida cumin pepper powder chillies chilli spinach mustard cardamom podsseeds chilli powder chilli curd fennel powder lemon enos fruit ginger bay urad dal cinnamon stick coriander powder sunflower vadis cloves
Himachali Dry Raw Mango Chutney Recipe,coriander aam papad mint chillies
Vegan Navratan Korma Recipe,pistachios carrot onion edible silver foilleaf turmeric powder chillies cardamom pineapple cardamom podsseeds raisins mint tofu garam masala powder beans coconut yogurt cauliflower coconut pressed chilli powder coconut milk cashew nuts ginger saffron strands ginger garlic paste badam poppy potato cloves
Lentils and Mixed Grains Khichda Recipe,ginger cumin powder chana dal rice chilli coriander asafoetida jowar chilli powder cloves garlic onion lemon curry bajra turmeric powder masoor dal garam masala powder sunflower
Chettinad Pakora Curry Recipe,tomato cloves garlic curry onion chillies chana dal sunflower cardamom podsseeds chillies coconut coriander chilli powder cashew nuts sunflower pakodas bay fennel gram dal cinnamon stick poppy coriander powder
Banana Pomegranate Raita Recipe - Kela Anar Raita,yogurt chilli powder cumin powder take dijon mustard pomegranate banana
Dhania Wale Aloo Recipe - Coriander Potato Dry,cumin powder sesame ginger chilli ghee coriander lemon potatoes pepper powder normal garam masala powder
Case Podimas Recipe (South Indian Style Blindine Mash),ginger chilli mustard coconut curry urad dal onion banana sunflower
Baked Potato-Spaghetti Rolls Recipe,gram spaghetti pasta ginger chilli potato olive bread cubes seasd garlic rosemary coriander pepper lemon drops
Rajasthani Ghasela recipe - Besan Ka Pitta (Recipe in Hindi),coriander turmeric powder asafoetida chilli powder onion onion chillies cumin gram flour
Andhra Style Bendakaya Charu Recipe - Ladies Finger Rasam,tomato tamarind asafoetida ghee mustard chilli powder chilli pearl onion curry garlic cumin methi bhindi coriander powder turmeric powder
Mexican Vegetarian Burrito Bowl Recipe,tomato yellow bell pepper lettuce coriander olive peppercorns cloves garlic chipotle chillies peppers onion cumin bell pepper rajma oregano sunflower coriander cheddar cheese mexican cheese del monte corn kernels fire olives guacamole recipes lemon chilli flakes rice fluffy bell pepper
Dahi Bhindi Recipe - Okra in Yogurt Curry with Caramelized Onions,coriander ginger ghee chilli powder gram flour curd chillies onion cumin bhindi turmeric powder garam masala powder sunflower
Palak Paneer Bhurji Recipe - Palak Paneer Bhurji Recipe,cheese tomato cumin spinach chilli powder cloves garlic onion mango powder chillies butter garam masala powder
Badam Halwa Recipe,saffron flour almonds ghee milk almond silver
Sweet & Spicy Vegetable Hong Kong Style Recipe,beans bell pepper ginger pepper cloves garlic carrot soy sauce chilli vinegar chillies bell pepper tofu chilli sauce corn flour mixed sunflower
Badam Halwa Recipe,flour ghee milk saffron strands badam almonds
Tender Coconut Ice Cream Recipe,tender coconut meat tender coconut glazing milk c
Milk Powder Chena Burfi Recipe,cardamom podsseeds ghee pistachios milk saffron strands vinegar lime juice yellow colour milk milk powder
Carrot Orange Walnut Raita (Fruity Nutty Yogurt) Recipe,cashew nuts orange cumin powder carrot curd per preference raita masala walnuts
Coffee Chocolate Truffles Recipe,cream coffee powder dark chocolate cocoa powder butter
Karnataka Style Ragi Ujju Rotti Recipe,ragi flour ghee roasting rice flour sunflower
Pui Shaker Chorchori Recipe - Mixed Vegetable Curry With Malabar Spinach,cumin powder parangikai pumpkin mustard brinjal potato malabar spinach stalks chillies panch phoran masala turmeric powder mooli mullangi
Potato Pancakes Recipe,peanut pan chives eggs potato cloves garlic parsley lemon onion pepper flour bread crumbs
Bamboo Shoot Stir Fry Recipe,olive chilli flakes spring onion yellow bell peppers bamboo shoots mushrooms cremini mushrooms
Udupi Style Red Parboiled Rice Sevai Recipe (Red Rice Vermicelli),mattaice coconut
Till Wale Aloo Recipe - Sesame Potato Sabzi,cumin powder chilli coriander powder coriander potato chilli powder chutney ginger paste sesame garam masala powder sunflower
Beetroot Loni Sponge Dosa Recipe,idli dosa batter buttermilk sour sesame curry poha rice beetroot chilli paste butter loni
Sweet & Spicy Stuffed Paneer In Kofta Curry Recipe,tomato pistachios cloves garlic onion cardamom powder turmeric powder sunflower paneer cubes chilli cardamom podsseeds raisins mace star anise chilli powder curd kasuri methi cashew nuts ginger bay gram flour badam cinnamon stick coriander powder cloves
"Sichuan Style Zhong Shui Jiao Recipe (Caramelized Onion, Cabbage And Peas Dumplings in Red Oil Recipe)",ginger star anise spring onion peas soy sauce sesame cinnamon stick flour chilli sauce sesame cabbage sunflower
Spicy Baby Potatoes Recipe,cumin powder amchur coriander chilli powder chilli curry cumin lemon potatoes coriander powder turmeric powder garam masala powder sunflower
Barley Whole Wheat Coffee Marble Cake Recipe,powder flour coffee powder caster barley flour eggs butter
Chettinad Dry Pepper Chicken Recipe,tomato cumin powder coriander ginger garlic paste curry fennel powder onion pepper powder coriander powder turmeric powder chicken sunflower
Andhra Style Lettuce Pulp Recipe (Spinach Dal Recipe),yellow moong dal arhar dal tamarind mustard spinach ed pearl onion curry chillies cloves garlic pound turmeric powder chillies sunflower
Rich Dark Chocolate Mousse Recipe,eggs strained natural bourbon vanilla dark chocolate caster
Hunase Gojju Recipe - Hunase Gojju Recipe,rasam powder chilli powder asafoetida jaggery fenugreek curry mustard tamarind paste chillies
Qahwa | Arabic Coffee Recipe,coffee beans cardamom podsseeds saffron strands rose
Broccoli Corn & Barley Soup Recipe,tomato beans tme corn flour sour barley pepper powder peas cloves garlic carrot olive basil chilli flakes rocket spinach onion corn broccoli florets
Spirulina and Mint Basil Pesto Pasta Recipe,yellow bell pepper tomato tofu zucchini cloves garlic basil olive chilli flakes spirulina badam pasta pepper powder mint oregano
Goan Style Sando Recipe (Steamed Rice Cakes Filled With Sweet Coconut),coconut milk toddy basmati rice cardamom podsseeds jaggery yeast mattaice urad dal coconut
"Til Moongphali Aur Kundru Sabzi Recipe - Sesame, Peanuts And Ivy Gourd Stir Fry",mustard chilli powder tindora curry peanuts chillies coriander powder turmeric powder sesame sunflower
Asian Style Honey Soy Sticky Chicken Recipe,ginger chicken thighswings soy sauce vinegar pepper powder garlic sesame sesame olive
Kaigari Pirattal Recipe (Chettinad Style Mixed Vegetables),beans mustard coconut fennel carrot curry chillies onion cumin potato cauliflower florets sunflower
Pomegranate Frozen Margarita Recipe,tequila cubes triple sec orange juice rimming glass (margarita pomegranate juice lemon pomegranate fruit kernels
Chinese Egg Fried Rice Recipe With Oats,rice spring onion greens beans carrot eggs pepper oats oats cabbage sunflower
Matar Besan and Paneer Cheela Recipe - Matar Besan and Paneer Cheela Recipe,cheese turmeric powder ginger cumin powder peas boil chillies gram flour
Leftover Roti Cutlet Recipe,corn flour amchur pepper powder potato chilli powder chilli flakes carrot onion phulka lemon bread crumbs corn chillies
Flourless Orange Cake With Cream Cheese Frosting Recipe,cheese powder orange britannia cream orange juice almond meal caster eggs icing hazelnut meal
Spicy Paneer Bhurji Pav Sandwich Recipe - Breakfast Recipe,tomato ginger chilli coriander chilli powder paneer crumpled onion pav buns butter turmeric powder sunflower
Asian Style Baby Corn With Sesame Seeds and Peanut Sauce Recipe,paprika powder corn onion chilli paste sunflower corn flour orange juice soy sauce tofu paneer yellow bell peppers garlic rice flour sesame garlic paste rice vinegar orange marmalade jam spring onion peanuts salted
Papaya and Carrot Halwa Recipe,ghee milk saffron strands carrot papaya badam cardamom powder
Phalguni Dal (Recipe),tomato chillies turmeric powder ginger cumin aniseed kalonji mustard cloves garlic mustard fenugreek onion asafetida lentils peas garam masala powder
Soft Millet Taco Recipe Topped With Hummus & Veggies,flour hummus cumin powder jowar flour cloves garlic onion broccoli pepper powder bajra flour cherry tomato butter sunflower
Sprouted Moong And Onion Fritters Recipe,ginger coriander moong sprouts chilli powder gram flour onion lemon coriander powder rice flour chillies garam masala powder sunflower
Lemon And Ginger Spicy Black Eyed Beans Recipe,tomato cumin powder ginger cloves garlic olive chilli powder chilli flakes coriander onion yellow bell pepper lemon eyed beans
Gawar Phali Masala Sabzi Recipe - Cluster Beans Gravy Sabzi,tomato ginger mustard asafoetida coriander ajwain jaggery chilli powder cloves garlic gawar phali onion peanuts coriander powder turmeric powder
Corn only quiche recipe,coriander ginger ghee fennel ajwain chaat masala powder peas corn flour chillies garam masala powder sunflower
Lacha Onion Recipe - Masala Pickled Onions,chaat masala powder chilli powder onion lemon
Masala Cornflakes Chicken Recipe,corn flakes coarse powder coriander chilli powder chicken ( ginger garlic paste coriander powder eggs turmeric powder garam masala powder sunflower
Tofu Bhurji Recipe - Spicy Scrambled Tofu,tomato bell pepper chilli chilli powder coriander onion cumin pepper powder tofu turmeric powder sunflower
Savoury Bread Pudding Recipe,bell pepper milk mushrooms cloves garlic carrot olive pepper powder tme oregano herbs choice onion cheddar cheese eggs butter greasing dish zucchini dijon mustard spinach bread preferably dayold bread
